study_name,run_name,started_at,finished_at,status,dataset,dataset_loader,model_provider,llm_model,llm_model_name,model_family,model_size_label,model_params_b,closed_weights,embedding_model,embedding_model_name,retriever_type,num_masks,retriever_k,gamma,index_size,eval_size,member_samples,non_member_samples,auc,accuracy,precision,recall,f1,retrieval_recall,member_mean_mask_accuracy,non_member_mean_mask_accuracy,member_mean_format_coverage,non_member_mean_format_coverage,member_exact_reconstruction_rate,non_member_exact_reconstruction_rate,generation_failure_rate,runtime_seconds,failure_reason,config_repr
ablation_retrieval_stack,ablation_retrieval_stack-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-04-11 16:28:31,2026-04-11 16:33:21,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9932000000000001,0.87,0.7936507936507936,1.0,0.8849557522123894,1.0,0.9159999999999995,0.34,1.0,1.0,0.46,0.0,0.0,290.3419,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
ablation_retrieval_stack,ablation_retrieval_stack-healthcaremagic-gpt-4o-mini-faiss-all-minilm-l6-v2-m10-k5-g0.50-idx500-eval50-seed42,2026-04-11 16:33:21,2026-04-11 16:38:24,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,,,,,all-minilm-l6-v2,sentence-transformers/all-MiniLM-L6-v2,faiss,10,5,0.5,500,50,50,50,0.9958000000000001,0.84,0.7575757575757576,1.0,0.8620689655172413,1.0,0.9119999999999997,0.3580000000000001,1.0,1.0,0.44,0.0,0.0,302.6203,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=all-minilm-l6-v2, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
ablation_retrieval_stack,ablation_retrieval_stack-healthcaremagic-gpt-4o-mini-bm25-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-04-11 16:38:24,2026-04-11 16:43:36,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,bm25,10,5,0.5,500,50,50,50,0.9942,0.84,0.7575757575757576,1.0,0.8620689655172413,1.0,0.9199999999999997,0.37000000000000005,1.0,1.0,0.46,0.0,0.0,311.1331,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=bm25, M=10, K=5, Idx=500, Eval=50)"
ablation_retrieval_stack,ablation_retrieval_stack-healthcaremagic-gpt-4o-mini-bm25-all-minilm-l6-v2-m10-k5-g0.50-idx500-eval50-seed42,2026-04-11 16:43:36,2026-04-11 16:48:53,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,,,,,all-minilm-l6-v2,sentence-transformers/all-MiniLM-L6-v2,bm25,10,5,0.5,500,50,50,50,0.995,0.85,0.7692307692307693,1.0,0.8695652173913043,1.0,0.9219999999999996,0.366,1.0,1.0,0.48,0.0,0.0,317.3636,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=all-minilm-l6-v2, Ret=bm25, M=10, K=5, Idx=500, Eval=50)"
