study_name,run_name,started_at,finished_at,status,dataset,dataset_loader,model_provider,llm_model,llm_model_name,model_family,model_size_label,model_params_b,closed_weights,embedding_model,embedding_model_name,retriever_type,num_masks,retriever_k,gamma,index_size,eval_size,member_samples,non_member_samples,auc,accuracy,precision,recall,f1,retrieval_recall,member_mean_mask_accuracy,non_member_mean_mask_accuracy,member_mean_format_coverage,non_member_mean_format_coverage,member_exact_reconstruction_rate,non_member_exact_reconstruction_rate,generation_failure_rate,runtime_seconds,failure_reason,config_repr
ablation_mask_count,ablation_mask_count-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m3-k5-g0.50-idx500-eval50-seed42,2026-04-11 15:21:13,2026-04-11 15:23:46,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,3,5,0.5,500,50,50,50,0.9032,0.8,0.7419354838709677,0.92,0.8214285714285714,1.0,0.8933333333333333,0.3533333333333333,1.0,0.9866666666666666,0.78,0.06,0.08,152.858,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=3, K=5, Idx=500, Eval=50)"
ablation_mask_count,ablation_mask_count-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m5-k5-g0.50-idx500-eval50-seed42,2026-04-11 15:23:46,2026-04-11 15:26:52,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,5,5,0.5,500,50,50,50,0.9426,0.83,0.7538461538461538,0.98,0.8521739130434782,1.0,0.9120000000000001,0.37199999999999994,1.0,1.0,0.68,0.02,0.02,185.7392,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=5, K=5, Idx=500, Eval=50)"
ablation_mask_count,ablation_mask_count-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-04-11 15:26:52,2026-04-11 15:31:49,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9932000000000001,0.85,0.7692307692307693,1.0,0.8695652173913043,1.0,0.9199999999999996,0.35,1.0,1.0,0.5,0.0,0.0,297.0071,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
ablation_mask_count,ablation_mask_count-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m15-k5-g0.50-idx500-eval50-seed42,2026-04-11 15:31:49,2026-04-11 15:38:33,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,15,5,0.5,500,50,50,50,1.0,0.94,0.8928571428571429,1.0,0.9433962264150944,1.0,0.9293333333333329,0.34266666666666673,1.0,1.0,0.3,0.0,0.0,403.3706,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=15, K=5, Idx=500, Eval=50)"
ablation_mask_count,ablation_mask_count-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m20-k5-g0.50-idx500-eval50-seed42,2026-04-11 15:38:33,2026-04-11 15:47:14,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,20,5,0.5,500,50,50,50,1.0,0.91,0.847457627118644,1.0,0.9174311926605505,1.0,0.9430000000000003,0.35800000000000004,1.0,1.0,0.26,0.0,0.0,521.0281,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=20, K=5, Idx=500, Eval=50)"
