Timestamp,LLM,Dataset,Embedding,Retriever,Num Masks,Retriever K,Index Size,Eval Samples,AUC,Retrieval Recall
2026-04-11 18:05:50,gpt-4o-mini,nq,bge-small-en-v1.5,faiss,10,5,500,"50 (M:50, NM:50)",0.9798,1.0
2026-04-11 18:10:51,llama3,nq,bge-small-en-v1.5,faiss,10,5,500,"50 (M:50, NM:50)",0.9916,1.0
2026-04-11 18:16:46,gpt-4o-mini,fiqa,bge-small-en-v1.5,faiss,10,5,500,"50 (M:50, NM:50)",0.9992,1.0
2026-04-11 18:21:27,llama3,fiqa,bge-small-en-v1.5,faiss,10,5,500,"50 (M:50, NM:50)",0.9826,1.0
2026-04-11 18:26:53,gpt-4o-mini,arxiv,bge-small-en-v1.5,faiss,10,5,500,"50 (M:50, NM:50)",0.9890000000000001,1.0
2026-04-11 18:31:43,llama3,arxiv,bge-small-en-v1.5,faiss,10,5,500,"50 (M:50, NM:50)",0.9935999999999999,1.0
2026-04-11 18:37:36,gpt-4o-mini,healthcaremagic,bge-small-en-v1.5,faiss,10,5,500,"50 (M:50, NM:50)",0.9965999999999999,1.0
2026-04-11 18:42:40,gpt-4o-mini,healthcaremagic,bge-small-en-v1.5,faiss,10,5,500,"50 (M:50, NM:50)",0.9880000000000001,1.0
2026-04-11 18:47:38,gpt-4o-mini,healthcaremagic,bge-small-en-v1.5,faiss,10,5,2000,"50 (M:50, NM:50)",0.9978,1.0
2026-04-11 18:52:46,gpt-4o-mini,healthcaremagic,bge-small-en-v1.5,faiss,10,5,2000,"50 (M:50, NM:50)",0.979,1.0
