study_name,run_name,started_at,finished_at,status,dataset,dataset_loader,model_provider,llm_model,llm_model_name,model_family,model_size_label,model_params_b,closed_weights,embedding_model,embedding_model_name,retriever_type,num_masks,retriever_k,gamma,index_size,eval_size,member_samples,non_member_samples,auc,accuracy,precision,recall,f1,retrieval_recall,member_mean_mask_accuracy,non_member_mean_mask_accuracy,member_mean_format_coverage,non_member_mean_format_coverage,member_exact_reconstruction_rate,non_member_exact_reconstruction_rate,generation_failure_rate,runtime_seconds,failure_reason,config_repr
ablation_gamma,ablation_gamma-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.30-idx500-eval50-seed42,2026-04-11 15:47:16,2026-04-11 15:52:28,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.3,500,50,50,50,0.995,0.69,0.6172839506172839,1.0,0.7633587786259542,1.0,0.9179999999999998,0.33199999999999996,1.0,1.0,0.48,0.0,0.0,312.1654,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
ablation_gamma,ablation_gamma-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-04-11 15:52:28,2026-04-11 15:57:29,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9932000000000001,0.86,0.78125,1.0,0.8771929824561403,1.0,0.9199999999999996,0.34600000000000003,1.0,1.0,0.5,0.0,0.0,300.5492,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
ablation_gamma,ablation_gamma-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.70-idx500-eval50-seed42,2026-04-11 15:57:29,2026-04-11 16:03:01,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.7,500,50,50,50,0.9904000000000001,0.97,0.9433962264150944,1.0,0.970873786407767,1.0,0.9199999999999997,0.34,1.0,1.0,0.52,0.0,0.0,331.1317,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
ablation_gamma,ablation_gamma-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.90-idx500-eval50-seed42,2026-04-11 16:03:01,2026-04-11 16:08:54,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.9,500,50,50,50,0.9955999999999999,0.88,1.0,0.76,0.8636363636363636,1.0,0.9159999999999998,0.34199999999999997,1.0,1.0,0.5,0.0,0.24,353.6323,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
