study_name,run_name,started_at,finished_at,status,dataset,dataset_loader,model_provider,llm_model,llm_model_name,model_family,model_size_label,model_params_b,closed_weights,embedding_model,embedding_model_name,retriever_type,num_masks,retriever_k,gamma,index_size,eval_size,member_samples,non_member_samples,auc,accuracy,precision,recall,f1,retrieval_recall,member_mean_mask_accuracy,non_member_mean_mask_accuracy,member_mean_format_coverage,non_member_mean_format_coverage,member_exact_reconstruction_rate,non_member_exact_reconstruction_rate,generation_failure_rate,runtime_seconds,failure_reason,config_repr
ablation_retrieval_depth,ablation_retrieval_depth-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k1-g0.50-idx500-eval50-seed42,2026-04-11 16:08:56,2026-04-11 16:13:38,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,1,0.5,500,50,50,50,0.9992,0.87,0.7936507936507936,1.0,0.8849557522123894,1.0,0.9019999999999997,0.31399999999999995,1.0,1.0,0.4,0.0,0.0,281.2634,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=1, Idx=500, Eval=50)"
ablation_retrieval_depth,ablation_retrieval_depth-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k3-g0.50-idx500-eval50-seed42,2026-04-11 16:13:38,2026-04-11 16:18:18,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,3,0.5,500,50,50,50,0.9955999999999999,0.87,0.7936507936507936,1.0,0.8849557522123894,1.0,0.9139999999999998,0.32799999999999996,1.0,1.0,0.48,0.0,0.0,280.1183,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=3, Idx=500, Eval=50)"
ablation_retrieval_depth,ablation_retrieval_depth-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-04-11 16:18:18,2026-04-11 16:23:18,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.997,0.86,0.78125,1.0,0.8771929824561403,1.0,0.9179999999999998,0.3339999999999999,1.0,1.0,0.46,0.0,0.0,299.9972,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
ablation_retrieval_depth,ablation_retrieval_depth-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k10-g0.50-idx500-eval50-seed42,2026-04-11 16:23:18,2026-04-11 16:28:29,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,10,0.5,500,50,50,50,0.9938,0.85,0.7692307692307693,1.0,0.8695652173913043,1.0,0.9239999999999998,0.35,1.0,1.0,0.52,0.0,0.0,310.7854,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=10, Idx=500, Eval=50)"
