study_name,run_name,started_at,finished_at,status,dataset,dataset_loader,model_provider,llm_model,llm_model_name,embedding_model,embedding_model_name,retriever_type,num_masks,retriever_k,gamma,index_size,eval_size,member_samples,non_member_samples,auc,accuracy,precision,recall,f1,retrieval_recall,runtime_seconds,failure_reason,config_repr
ablation_gamma,ablation_gamma-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.30-idx500-eval50-seed42,2026-03-30 15:41:15,2026-03-30 15:47:12,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.3,500,50,50,50,0.9962000000000001,0.67,0.6024096385542169,1.0,0.7518796992481203,1.0,356.2982,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
ablation_gamma,ablation_gamma-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 15:47:12,2026-03-30 15:53:14,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9965999999999999,0.87,0.7936507936507936,1.0,0.8849557522123894,1.0,362.1096,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
ablation_gamma,ablation_gamma-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.70-idx500-eval50-seed42,2026-03-30 15:53:14,2026-03-30 15:58:55,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.7,500,50,50,50,0.9964,0.98,0.9615384615384616,1.0,0.9803921568627451,1.0,340.7608,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
ablation_gamma,ablation_gamma-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.90-idx500-eval50-seed42,2026-03-30 15:58:55,2026-03-30 16:05:15,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.9,500,50,50,50,0.9976,0.89,1.0,0.78,0.8764044943820225,1.0,379.7507,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
