study_name,run_name,started_at,finished_at,status,dataset,dataset_loader,model_provider,llm_model,llm_model_name,embedding_model,embedding_model_name,retriever_type,num_masks,retriever_k,gamma,index_size,eval_size,member_samples,non_member_samples,auc,accuracy,precision,recall,f1,retrieval_recall,runtime_seconds,failure_reason,config_repr
ablation_retrieval_depth,ablation_retrieval_depth-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k1-g0.50-idx500-eval50-seed42,2026-03-30 16:05:16,2026-03-30 16:11:42,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,1,0.5,500,50,50,50,1.0,0.88,0.8064516129032258,1.0,0.8928571428571429,1.0,386.1808,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=1, Idx=500, Eval=50)"
ablation_retrieval_depth,ablation_retrieval_depth-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k3-g0.50-idx500-eval50-seed42,2026-03-30 16:11:42,2026-03-30 16:18:22,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,3,0.5,500,50,50,50,0.996,0.87,0.7936507936507936,1.0,0.8849557522123894,1.0,398.9982,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=3, Idx=500, Eval=50)"
ablation_retrieval_depth,ablation_retrieval_depth-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 16:18:22,2026-03-30 16:24:44,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9984,0.86,0.78125,1.0,0.8771929824561403,1.0,382.5153,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
ablation_retrieval_depth,ablation_retrieval_depth-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k10-g0.50-idx500-eval50-seed42,2026-03-30 16:24:44,2026-03-30 16:31:51,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,10,0.5,500,50,50,50,0.9928,0.84,0.7575757575757576,1.0,0.8620689655172413,1.0,426.3063,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=10, Idx=500, Eval=50)"
