study_name,run_name,started_at,finished_at,status,dataset,dataset_loader,model_provider,llm_model,llm_model_name,embedding_model,embedding_model_name,retriever_type,num_masks,retriever_k,gamma,index_size,eval_size,member_samples,non_member_samples,auc,accuracy,precision,recall,f1,retrieval_recall,runtime_seconds,failure_reason,config_repr
ablation_mask_count,ablation_mask_count-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m3-k5-g0.50-idx500-eval50-seed42,2026-03-30 15:09:47,2026-03-30 15:13:09,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,3,5,0.5,500,50,50,50,0.9076000000000001,0.8,0.7419354838709677,0.92,0.8214285714285714,1.0,201.5287,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=3, K=5, Idx=500, Eval=50)"
ablation_mask_count,ablation_mask_count-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m5-k5-g0.50-idx500-eval50-seed42,2026-03-30 15:13:09,2026-03-30 15:16:58,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,5,5,0.5,500,50,50,50,0.9541999999999999,0.84,0.765625,0.98,0.8596491228070176,1.0,228.5571,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=5, K=5, Idx=500, Eval=50)"
ablation_mask_count,ablation_mask_count-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 15:16:58,2026-03-30 15:22:45,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9930000000000001,0.87,0.7936507936507936,1.0,0.8849557522123894,1.0,346.4201,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
ablation_mask_count,ablation_mask_count-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m15-k5-g0.50-idx500-eval50-seed42,2026-03-30 15:22:45,2026-03-30 15:30:35,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,15,5,0.5,500,50,50,50,1.0,0.94,0.8928571428571429,1.0,0.9433962264150944,1.0,470.257,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=15, K=5, Idx=500, Eval=50)"
ablation_mask_count,ablation_mask_count-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m20-k5-g0.50-idx500-eval50-seed42,2026-03-30 15:30:35,2026-03-30 15:41:14,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,20,5,0.5,500,50,50,50,1.0,0.92,0.8620689655172413,1.0,0.9259259259259259,1.0,638.755,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=20, K=5, Idx=500, Eval=50)"
