study_name,run_name,started_at,finished_at,status,dataset,dataset_loader,model_provider,llm_model,llm_model_name,embedding_model,embedding_model_name,retriever_type,num_masks,retriever_k,gamma,index_size,eval_size,member_samples,non_member_samples,auc,accuracy,precision,recall,f1,retrieval_recall,runtime_seconds,failure_reason,config_repr
optional_scale_study,optional_scale_study-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 18:05:48,2026-03-30 18:12:06,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9962000000000001,0.85,0.7692307692307693,1.0,0.8695652173913043,1.0,377.5201,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
optional_scale_study,optional_scale_study-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed1337,2026-03-30 18:12:06,2026-03-30 18:18:32,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9887999999999999,0.92,0.8620689655172413,1.0,0.9259259259259259,1.0,381.836,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
optional_scale_study,optional_scale_study-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx2000-eval50-seed42,2026-03-30 18:18:32,2026-03-30 18:24:23,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,2000,50,50,50,0.9968,0.88,0.8064516129032258,1.0,0.8928571428571429,1.0,346.7919,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=2000, Eval=50)"
optional_scale_study,optional_scale_study-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx2000-eval50-seed1337,2026-03-30 18:24:23,2026-03-30 18:30:37,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,2000,50,50,50,0.9802,0.87,0.7936507936507936,1.0,0.8849557522123894,1.0,369.675,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=2000, Eval=50)"
