study_name,run_name,started_at,finished_at,status,dataset,dataset_loader,model_provider,llm_model,llm_model_name,model_family,model_size_label,model_params_b,closed_weights,embedding_model,embedding_model_name,retriever_type,num_masks,retriever_k,gamma,index_size,eval_size,member_samples,non_member_samples,auc,accuracy,precision,recall,f1,retrieval_recall,member_mean_mask_accuracy,non_member_mean_mask_accuracy,member_mean_format_coverage,non_member_mean_format_coverage,member_exact_reconstruction_rate,non_member_exact_reconstruction_rate,generation_failure_rate,runtime_seconds,failure_reason,config_repr
optional_scale_study,optional_scale_study-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-04-11 18:37:36,2026-04-11 18:42:40,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9965999999999999,0.86,0.78125,1.0,0.8771929824561403,1.0,0.9259999999999997,0.33,1.0,1.0,0.52,0.0,0.0,303.2416,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
optional_scale_study,optional_scale_study-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed1337,2026-04-11 18:42:40,2026-04-11 18:47:38,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9880000000000001,0.9,0.8333333333333334,1.0,0.9090909090909091,1.0,0.9039999999999996,0.34600000000000003,1.0,1.0,0.36,0.0,0.0,294.0273,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
optional_scale_study,optional_scale_study-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx2000-eval50-seed42,2026-04-11 18:47:38,2026-04-11 18:52:46,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,2000,50,50,50,0.9978,0.87,0.7936507936507936,1.0,0.8849557522123894,1.0,0.9319999999999996,0.3159999999999999,1.0,1.0,0.48,0.0,0.0,303.3598,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=2000, Eval=50)"
optional_scale_study,optional_scale_study-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx2000-eval50-seed1337,2026-04-11 18:52:46,2026-04-11 18:57:49,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,2000,50,50,50,0.979,0.88,0.8064516129032258,1.0,0.8928571428571429,1.0,0.9279999999999995,0.3560000000000001,1.0,1.0,0.5,0.02,0.0,299.6204,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=2000, Eval=50)"
