study_name,run_name,started_at,finished_at,status,dataset,dataset_loader,model_provider,llm_model,llm_model_name,model_family,model_size_label,model_params_b,closed_weights,embedding_model,embedding_model_name,retriever_type,num_masks,retriever_k,gamma,index_size,eval_size,member_samples,non_member_samples,auc,accuracy,precision,recall,f1,retrieval_recall,member_mean_mask_accuracy,non_member_mean_mask_accuracy,member_mean_format_coverage,non_member_mean_format_coverage,member_exact_reconstruction_rate,non_member_exact_reconstruction_rate,generation_failure_rate,runtime_seconds,failure_reason,config_repr
ablation_model_family,ablation_model_family-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-04-11 13:24:18,2026-04-11 13:29:26,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9934000000000001,0.87,0.7936507936507936,1.0,0.8849557522123894,1.0,0.9159999999999997,0.34,1.0,1.0,0.44,0.0,0.0,307.5012,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
ablation_model_family,ablation_model_family-healthcaremagic-llama3-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-04-11 13:29:26,2026-04-11 13:35:34,success,healthcaremagic,healthcaremagic,ollama,llama3,llama3,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.998,0.95,0.9090909090909091,1.0,0.9523809523809523,1.0,0.8719999999999994,0.1659999999999999,0.996,0.9839999999999999,0.22,0.0,0.0,367.9406,,"Config(LLM=llama3, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
ablation_model_family,ablation_model_family-healthcaremagic-mistral-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-04-11 13:35:34,2026-04-11 13:42:20,success,healthcaremagic,healthcaremagic,ollama,mistral,mistral,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.7144,0.81,0.9696969696969697,0.64,0.7710843373493976,1.0,0.524,0.10199999999999998,0.6579999999999999,0.64,0.1,0.0,0.36,405.425,,"Config(LLM=mistral, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
ablation_model_family,ablation_model_family-healthcaremagic-phi3-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-04-11 13:42:20,2026-04-11 13:47:10,success,healthcaremagic,healthcaremagic,ollama,phi3,phi3,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9104,0.78,1.0,0.56,0.717948717948718,1.0,0.47600000000000003,0.07600000000000003,0.8439999999999996,0.8139999999999997,0.0,0.0,0.44,290.4077,,"Config(LLM=phi3, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
