study_name,run_name,started_at,finished_at,status,dataset,dataset_loader,model_provider,llm_model,llm_model_name,embedding_model,embedding_model_name,retriever_type,num_masks,retriever_k,gamma,index_size,eval_size,member_samples,non_member_samples,auc,accuracy,precision,recall,f1,retrieval_recall,runtime_seconds,failure_reason,config_repr
ablation_retrieval_stack,ablation_retrieval_stack-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 16:31:52,2026-03-30 16:38:04,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9954000000000001,0.87,0.7936507936507936,1.0,0.8849557522123894,1.0,372.0215,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
ablation_retrieval_stack,ablation_retrieval_stack-healthcaremagic-gpt-4o-mini-faiss-all-minilm-l6-v2-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 16:38:04,2026-03-30 16:43:58,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,all-minilm-l6-v2,sentence-transformers/all-MiniLM-L6-v2,faiss,10,5,0.5,500,50,50,50,0.9946,0.84,0.7575757575757576,1.0,0.8620689655172413,1.0,353.2175,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=all-minilm-l6-v2, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
ablation_retrieval_stack,ablation_retrieval_stack-healthcaremagic-gpt-4o-mini-bm25-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 16:43:58,2026-03-30 16:50:20,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,bm25,10,5,0.5,500,50,50,50,0.995,0.85,0.7692307692307693,1.0,0.8695652173913043,1.0,381.9214,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=bm25, M=10, K=5, Idx=500, Eval=50)"
ablation_retrieval_stack,ablation_retrieval_stack-healthcaremagic-gpt-4o-mini-bm25-all-minilm-l6-v2-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 16:50:20,2026-03-30 16:56:07,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,all-minilm-l6-v2,sentence-transformers/all-MiniLM-L6-v2,bm25,10,5,0.5,500,50,50,50,0.9938,0.85,0.7692307692307693,1.0,0.8695652173913043,1.0,346.5756,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=all-minilm-l6-v2, Ret=bm25, M=10, K=5, Idx=500, Eval=50)"
