study_name,run_name,started_at,finished_at,status,dataset,dataset_loader,model_provider,llm_model,llm_model_name,model_family,model_size_label,model_params_b,closed_weights,embedding_model,embedding_model_name,retriever_type,num_masks,retriever_k,gamma,index_size,eval_size,member_samples,non_member_samples,auc,accuracy,precision,recall,f1,retrieval_recall,member_mean_mask_accuracy,non_member_mean_mask_accuracy,member_mean_format_coverage,non_member_mean_format_coverage,member_exact_reconstruction_rate,non_member_exact_reconstruction_rate,generation_failure_rate,runtime_seconds,failure_reason,config_repr
ablation_model_scale,ablation_model_scale-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-04-11 13:47:15,2026-04-11 13:52:16,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.995,0.86,0.78125,1.0,0.8771929824561403,1.0,0.9179999999999997,0.34199999999999997,1.0,1.0,0.48,0.0,0.0,300.8683,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
ablation_model_scale,ablation_model_scale-healthcaremagic-gpt-4o-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-04-11 13:52:16,2026-04-11 13:57:11,success,healthcaremagic,healthcaremagic,openai,gpt-4o,gpt-4o,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9979999999999999,0.73,0.6493506493506493,1.0,0.7874015748031497,1.0,0.9519999999999997,0.462,1.0,1.0,0.62,0.0,0.0,294.7252,,"Config(LLM=gpt-4o, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
ablation_model_scale,ablation_model_scale-healthcaremagic-llama3.1-8b-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-04-11 13:57:11,2026-04-11 14:03:23,success,healthcaremagic,healthcaremagic,ollama,llama3.1-8b,llama3.1:8b,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,1.0,0.94,0.8928571428571429,1.0,0.9433962264150944,1.0,0.8939999999999995,0.1919999999999999,1.0,1.0,0.3,0.0,0.0,372.1762,,"Config(LLM=llama3.1-8b, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
ablation_model_scale,ablation_model_scale-healthcaremagic-llama3.1-70b-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-04-11 14:03:23,2026-04-11 15:21:08,success,healthcaremagic,healthcaremagic,ollama,llama3.1-70b,llama3.1:70b,,,,,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9994,0.88,0.8064516129032258,1.0,0.8928571428571429,1.0,0.9679999999999996,0.35800000000000004,1.0,1.0,0.7,0.0,0.0,4664.8072,,"Config(LLM=llama3.1-70b, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
